,0,1,2,3
0,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D139$lung,Respiratory System,11.520055,4.120022
97,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D231$lung,Respiratory System,-8.154552,2.0935142
193,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$apex%20of%20heart,Heart,-8.930678,1.3215126
236,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$heart%20left%20ventricle,Heart,-8.768111,0.18152177
286,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$heart%20right%20ventricle,Heart,12.940005,5.3469505
330,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$left%20cardiac%20atrium,Heart,11.261541,4.758906
365,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D11$apex%20of%20heart,Heart,,
428,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D11$heart%20left%20ventricle,Heart,,
475,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D11$heart%20right%20ventricle,Heart,,
529,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D11$interventricular%20septum,Heart,,
591,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D11$left%20cardiac%20atrium,Heart,,
649,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D11$right%20cardiac%20atrium,Heart,,
686,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D4$apex%20of%20heart,Heart,,
732,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D4$heart%20left%20ventricle,Heart,,
773,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D4$heart%20right%20ventricle,Heart,,
825,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D4$interventricular%20septum,Heart,,
873,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D4$left%20cardiac%20atrium,Heart,,
926,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D4$right%20cardiac%20atrium,Heart,,
976,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D5$apex%20of%20heart,Heart,,
1025,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D5$heart%20left%20ventricle,Heart,,
1079,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D5$heart%20right%20ventricle,Heart,,
1119,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D5$interventricular%20septum,Heart,,
1165,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D5$left%20cardiac%20atrium,Heart,,
1214,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D5$right%20cardiac%20atrium,Heart,,
1270,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H5$apex%20of%20heart,Heart,,
1324,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H5$heart%20left%20ventricle,Heart,,
1380,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H5$heart%20right%20ventricle,Heart,,
1427,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H5$interventricular%20septum,Heart,,
1485,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H5$left%20cardiac%20atrium,Heart,,
1537,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H5$right%20cardiac%20atrium,Heart,,
1592,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$apex%20of%20heart,Heart,,
1639,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$heart%20left%20ventricle,Heart,,
1693,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$heart%20right%20ventricle,Heart,,
1745,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,Heart,,
1798,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$left%20cardiac%20atrium,Heart,,
1852,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$right%20cardiac%20atrium,Heart,,
1903,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H7$apex%20of%20heart,Heart,,
1952,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H7$heart%20left%20ventricle,Heart,,
1999,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H7$heart%20right%20ventricle,Heart,,
2049,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H7$interventricular%20septum,Heart,,
2094,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H7$left%20cardiac%20atrium,Heart,,
2154,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H7$right%20cardiac%20atrium,Heart,,
2208,https://doi.org/10.1126/science.abl4290#GTEX-13N11-5002-SM-H5JDV,Heart,,
2270,https://doi.org/10.1126/science.abl4290#GTEX-13N11-5030-SM-H5JDW,Respiratory System,,
2410,https://doi.org/10.1126/science.abl4290#GTEX-1ICG6-5003-SM-GHS9A,Heart,,
2490,https://entity.api.hubmapconsortium.org/entities/018a905cdbdff684760859f594d3fd77,Kidney,,
2643,https://entity.api.hubmapconsortium.org/entities/0804a7a9e430e6adfbc56f339d787211,Kidney,,
2682,https://entity.api.hubmapconsortium.org/entities/08c1aa2e74700e1170fc9218ae255992,Kidney,,
2848,https://entity.api.hubmapconsortium.org/entities/0a21f3fa27109790483f2a0729be53de,Kidney,,
3034,https://entity.api.hubmapconsortium.org/entities/1197c73d127193dd493ff542890a3d3d,Kidney,,
3093,https://entity.api.hubmapconsortium.org/entities/173de2e80adf6a73ac8cff5ccce20dfc,Kidney,,
3114,https://entity.api.hubmapconsortium.org/entities/1b5c7d45cb0e475b73f9280d092d34a5,Kidney,,
3152,https://entity.api.hubmapconsortium.org/entities/1dc16eb0270ff73291dd45b6a96aa3c0,Kidney,,
3178,https://entity.api.hubmapconsortium.org/entities/206d669d243f6dab04cc126a52cdab8d,Kidney,,
3216,https://entity.api.hubmapconsortium.org/entities/22684b9011fc5aea5cb3f89670a461e8,Heart,,
3271,https://entity.api.hubmapconsortium.org/entities/254801a318687281ba3e473569d89a45,Kidney,,
3315,https://entity.api.hubmapconsortium.org/entities/2639e9e8488edddde275491cdbaae662,Kidney,,
3359,https://entity.api.hubmapconsortium.org/entities/26e1f2991c6f67fa10e9670f1bc0da6a,Heart,,
3502,https://entity.api.hubmapconsortium.org/entities/29596bee3f70b2bfc89d184fe38a3daa,Kidney,,
3672,https://entity.api.hubmapconsortium.org/entities/2cd4eabca0b653af7f3b79534b2d641f,Kidney,,
3713,https://entity.api.hubmapconsortium.org/entities/2d0deacd8be70eefbdc33ac107d97e58,Heart,,
3905,https://entity.api.hubmapconsortium.org/entities/32b783576b6c88fec03f5e5988e3effa,Kidney,,
3947,https://entity.api.hubmapconsortium.org/entities/33b9c54d7c295897826e1e5271d4fc24,Heart,,
3983,https://entity.api.hubmapconsortium.org/entities/33c0ce043ae331ea23fc80023428e534,Kidney,,
4051,https://entity.api.hubmapconsortium.org/entities/35e9bf0f58152ceb6f4d01052ac8867d,Heart,,
4105,https://entity.api.hubmapconsortium.org/entities/367fee3b40cba682063289505b922be1,Kidney,,
4176,https://entity.api.hubmapconsortium.org/entities/3d0bf870aaa607cd0bd0146a461ea0ac,Heart,,
4375,https://entity.api.hubmapconsortium.org/entities/41dab04d801d21bfc99328c9e249cc68,Kidney,,
4415,https://entity.api.hubmapconsortium.org/entities/434fbc55d458dc4e06da9ba4961f3840,Kidney,,
4464,https://entity.api.hubmapconsortium.org/entities/47015df8ab7615a9ce26098d88196dde,Ureter,,
4521,https://entity.api.hubmapconsortium.org/entities/4b5dc6d04aa30a6eb0b224a7ab7d03b3,Kidney,,
4564,https://entity.api.hubmapconsortium.org/entities/4b62d9d2c248323ce029859f953fdc57,Kidney,,
4862,https://entity.api.hubmapconsortium.org/entities/5039cf8619f6f8b5b4a14af1037e1d1f,Kidney,,
4904,https://entity.api.hubmapconsortium.org/entities/51bfd85763954248725ebf69f0dde5eb,Kidney,,
4945,https://entity.api.hubmapconsortium.org/entities/524dc341a03c155b6f4140e9d72f9b1d,Kidney,,
5013,https://entity.api.hubmapconsortium.org/entities/55452bd302046918eaeeffa62c5b5f03,Kidney,,
5069,https://entity.api.hubmapconsortium.org/entities/56cbda4789f04d79c0c3dffe21816d48,Ureter,,
5092,https://entity.api.hubmapconsortium.org/entities/57054da2dbe87b93f1adb78444086963,Ureter,,
5124,https://entity.api.hubmapconsortium.org/entities/59249f23ecdcc975c90de9a1956a5285,Kidney,,
5159,https://entity.api.hubmapconsortium.org/entities/615462a0e4aa133d8b19644c404e3eeb,Kidney,,
5415,https://entity.api.hubmapconsortium.org/entities/6cd657565c709c832300336899a1e1ec,Kidney,,
5469,https://entity.api.hubmapconsortium.org/entities/6fdfde6f88e34294b3cd58e070ebcba2,Kidney,,
5510,https://entity.api.hubmapconsortium.org/entities/7017034c816444f6acb469834e53344f,Kidney,,
5561,https://entity.api.hubmapconsortium.org/entities/704d16116f29994ab0e714f4afdb5516,Kidney,,
5715,https://entity.api.hubmapconsortium.org/entities/739184f7ec84d93a35360cde81cc026c,Kidney,,
5742,https://entity.api.hubmapconsortium.org/entities/7646a8a89555a123a56446b66c183d58,Kidney,,
5784,https://entity.api.hubmapconsortium.org/entities/79f8c7ec1b200dfe5b46d0bcfec02bd7,Kidney,,
5848,https://entity.api.hubmapconsortium.org/entities/7c9e07c96d144536525b1f889acee14d,Kidney,,
5884,https://entity.api.hubmapconsortium.org/entities/7ed80889944d7b0276e84f179090d622,Kidney,,
6056,https://entity.api.hubmapconsortium.org/entities/7f1e932a91a86ef58ed61ee19c175c18,Kidney,,
6098,https://entity.api.hubmapconsortium.org/entities/81c50251d7f1aa85eeb6c03be44443a6,Kidney,,
6178,https://entity.api.hubmapconsortium.org/entities/853ab5348f619043ab2f997ac8ae14f0,Ureter,,
6235,https://entity.api.hubmapconsortium.org/entities/898138b7f45a67c574e9955fb400e9be,Kidney,,
6396,https://entity.api.hubmapconsortium.org/entities/8b65acdfecc504e9a96c84643c3ab02c,Heart,,
6585,https://entity.api.hubmapconsortium.org/entities/8c5e705001d5cc1c40dbd963ad848486,Kidney,,
6629,https://entity.api.hubmapconsortium.org/entities/8cdb42ed1194255c74c8462b99bbd7ef,Kidney,,
6659,https://entity.api.hubmapconsortium.org/entities/92248f72d47b916a2027085ec1b8e996,Ureter,,
6691,https://entity.api.hubmapconsortium.org/entities/97c65df1d8fdc8d67c34a55e386fd430,Kidney,,
6867,https://entity.api.hubmapconsortium.org/entities/9b99c75de2347b9567e33065108488e8,Kidney,,
6961,https://entity.api.hubmapconsortium.org/entities/a19973065eec1489f4d6a308e73da275,Kidney,,
7197,https://entity.api.hubmapconsortium.org/entities/a6bfa5ab516fcc24137cdd3ce3971e2c,Kidney,,
7260,https://entity.api.hubmapconsortium.org/entities/a95f2c79bb637141f7e6874eddc8e274,Kidney,,
7302,https://entity.api.hubmapconsortium.org/entities/aa93e53df10842c13348a334c8fe423f,Kidney,,
7485,https://entity.api.hubmapconsortium.org/entities/ac1d4544ab4886b851f74b2c21952378,Kidney,,
7526,https://entity.api.hubmapconsortium.org/entities/ad693f99fb9006e68a53e97598da1509,Kidney,,
7554,https://entity.api.hubmapconsortium.org/entities/b2ab05f290c0740c3198f020cd70e78d,Kidney,,
7580,https://entity.api.hubmapconsortium.org/entities/b921c30d5077581c016d87d4f4c9ff19,Kidney,,
7848,https://entity.api.hubmapconsortium.org/entities/c14b104f9e44511ddf82697bce0d1901,Kidney,,
7891,https://entity.api.hubmapconsortium.org/entities/c1a0c043d0a986d71552091cc1b09742,Kidney,,
7967,https://entity.api.hubmapconsortium.org/entities/c6c0cca1d093fcdb8d72bd18053a7940,Kidney,,
8006,https://entity.api.hubmapconsortium.org/entities/c81b0dc9d16eb825a7d6bce6e1b3678f,Kidney,,
8059,https://entity.api.hubmapconsortium.org/entities/ccbad4ffd323265937b842ea36ada4ad,Kidney,,
8102,https://entity.api.hubmapconsortium.org/entities/ccf899abde825d51b03ad91028483ac1,Kidney,,
8172,https://entity.api.hubmapconsortium.org/entities/d1af36911148fdd7001fd4eebe7222f1,Kidney,,
8368,https://entity.api.hubmapconsortium.org/entities/dc4f4778dd04263c0660addcc93b3807,Kidney,,
8390,https://entity.api.hubmapconsortium.org/entities/dd3e6da115fd13eee62d9a4fba2324ae,Kidney,,
8432,https://entity.api.hubmapconsortium.org/entities/dd7ccbc306692fc5ff5e61c22845da21,Kidney,,
8451,https://entity.api.hubmapconsortium.org/entities/e010f7505632d7b6eeda25b349383149,Kidney,,
8481,https://entity.api.hubmapconsortium.org/entities/e375a44f5cf5457c8f9b1132574c2436,Kidney,,
8549,https://entity.api.hubmapconsortium.org/entities/e65175561b4b17da5352e3837aa0e497,Kidney,,
8567,https://entity.api.hubmapconsortium.org/entities/e7bdf34c4da9f1d880f2615226e9713d,Kidney,,
8608,https://entity.api.hubmapconsortium.org/entities/eb961e5dc50239d35f5398903c64e2b9,Kidney,,
8653,https://entity.api.hubmapconsortium.org/entities/ec7ebe15feec075a0299979b0350dd3a,Kidney,,
9095,https://entity.api.hubmapconsortium.org/entities/fbfdd102ecd60d7cf9d3da8c3d83a5c4,Kidney,,
9132,https://entity.api.hubmapconsortium.org/entities/fd0b0c1d050010de3520492147aacef4,Kidney,,
9173,https://entity.api.hubmapconsortium.org/entities/fee4cf0e7da557d3ef5c535b5417ed7a,Kidney,,
9212,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,Respiratory System,,
9304,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D046$lung,Respiratory System,,
9413,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D062$lung,Respiratory System,,
9518,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D088$lung,Respiratory System,,
9626,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D122$lung,Respiratory System,,
9722,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D150$lung,Respiratory System,,
9834,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D175$lung,Respiratory System,,
9924,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$apex%20of%20heart,Heart,,
9976,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$heart%20left%20ventricle,Heart,,
10026,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$heart%20right%20ventricle,Heart,,
10076,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$interventricular%20septum,Heart,,
10121,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$left%20cardiac%20atrium,Heart,,
10178,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$right%20cardiac%20atrium,Heart,,
10230,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D3$apex%20of%20heart,Heart,,
10284,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D3$heart%20left%20ventricle,Heart,,
10343,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D3$heart%20right%20ventricle,Heart,,
10389,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D3$interventricular%20septum,Heart,,
10433,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D3$left%20cardiac%20atrium,Heart,,
